Venue,Playing Surface,Preferred_Divisions
Bentleigh Secondary College,Court 1,"BLUE, RED, YELLOW, GREEN, PINK, PURPLE, Div  1, Div  1 (Pool 1), Div  1 (Pool 2), Div  2, Div  3, Div  4, Div  5, Div  6"
Bentleigh Secondary College,Court 2,"BLUE, RED, YELLOW, GREEN, PINK, PURPLE, Div  1, Div  1 (Pool 1), Div  1 (Pool 2), Div  2, Div  3, Div  4, Div  5, Div  6"
Bentleigh Secondary College,Court 3,"Div  1, Div  1 (Pool 1), Div  1 (Pool 2), Div  2, Div  3, Div  4, Div  5, Div  6, Div  7, Div  8, Div  9"
Bentleigh Secondary College,Court 4,"Div  1, Div  1 (Pool 1), Div  1 (Pool 2), Div  2, Div  3, Div  4, Div  5, Div  6, Div  7, Div  8, Div  9"
Brighton Secondary College,Court 1,"Div  1, Div  1 (Pool 1), Div  1 (Pool 2), Div  2, Div  3, Div  4, Div  5, Div  6, Div  7, Div  8, Div  9, Div 10, Div 11, Div 12"
Brighton Secondary College,Court 2,"Div  1, Div  1 (Pool 1), Div  1 (Pool 2), Div  2, Div  3, Div  4, Div  5, Div  6, Div  7, Div  8, Div  9, Div 10, Div 11, Div 12"
Carnegie Primary School,Court 1,"Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14, Div  5, Div  6, Div  7"
Cheltenham Secondary College,Court 1,"Div  4, Div  5, Div  6, Div  7, Div  8, Div  9, Div  8 Modified, Div  9 Modified, Div 10 Modified"
Cheltenham Secondary College,Court 2,"Div  4, Div  5, Div  6, Div  7, Div  8, Div  9, Div  8 Modified, Div  9 Modified, Div 10 Modified"
Coatesville Primary School,Court 1,"Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14, Div  5, Div  6, Div  7"
Glen Eira Sports & Aquatic Centre,Court 1,"Div  1, Div  1 (Pool 1), Div  1 (Pool 2), Div  2, Div  3, Div  4, Div  5, Div  6, Div  7, Div  8, Div  9"
Glen Eira Sports & Aquatic Centre,Court 2,"Div  1, Div  1 (Pool 1), Div  1 (Pool 2), Div  2, Div  3, Div  4, Div  5, Div  6, Div  7, Div  8, Div  9"
Glen Eira Sports & Aquatic Centre,Court 3,"Div  1, Div  1 (Pool 1), Div  1 (Pool 2), Div  2, Div  3, Div  4, Div  5, Div  6, Div  7, Div  8, Div  9"
Glen Huntly Primary School,Court 1,"Div  4, Div  5, Div  6, Div  7, Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14"
McKinnon Secondary College,Court 1 - Main Campus,"BLUE, RED, YELLOW, GREEN, Div  8 Modified, Div  9 Modified, Div 10 Modified, Div  3, Div  4, Div  5, Div  6, Div  7, Div  8, Div  9, Div 10"
McKinnon Secondary College,Court 2 - Cnr of Walnut & Bewdley st,"Div  5, Div  6, Div  7, Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14"
Monash Sport - Clayton,Games Hall Court 1,"Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14, Div  5, Div  6, Div  7"
Monash Sport - Clayton,Recreation Hall Court 1,"Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14, Div  5, Div  6, Div  7"
Monash Sport - Clayton,Recreation Hall Court 2,"Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14, Div  5, Div  6, Div  7"
Monash Sport - Clayton,Stadium Court 1,"Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14, Div  5, Div  6, Div  7"
Monash Sport - Clayton,Stadium Court 2,"Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14, Div  5, Div  6, Div  7"
Moorabbin Primary School,Court 1,"Div  9 Modified, Div 10 Modified, Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14, Div  5, Div  6, Div  7"
RSEA Park - St Kilda Football Club,Court 1,"Div  5, Div  6, Div  7, Div  8, Div  9, Div  8 Modified, Div  9 Modified, Div 10 Modified, Div 10, Div 11, Div 12"
South Oakleigh College,Court 1,"Div  8 Modified, Div  9 Modified, Div 10 Modified, Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14, Div  5, Div  6, Div  7"
Tucker Road Bentleigh Primary School,Court 1,"Div  8, Div  9, Div 10, Div 11, Div 12, Div 13, Div 14, Div  5, Div  6, Div  7"